ForecastId,ConfirmedCases,Fatalities
1,22.0,0.0
2,24.0,0.0
3,24.0,0.0
4,40.0,1.0
5,40.0,1.0
6,74.0,1.0
7,84.0,2.0
8,8.0,1.0
9,14.0,0.0
10,0.0,0.0
11,0.0,0.0
12,20.0,2.0
13,1.0,1.0
14,8.0,1.0
15,8.0,1.0
16,14.0,0.0
17,0.0,0.0
18,0.0,0.0
19,20.0,2.0
20,1.0,1.0
21,8.0,1.0
22,8.0,1.0
23,14.0,0.0
24,0.0,0.0
25,0.0,0.0
26,20.0,2.0
27,1.0,1.0
28,8.0,1.0
29,8.0,1.0
30,14.0,0.0
31,0.0,0.0
32,0.0,0.0
33,20.0,2.0
34,1.0,1.0
35,8.0,1.0
36,8.0,1.0
37,14.0,0.0
38,0.0,0.0
39,0.0,0.0
40,20.0,2.0
41,1.0,1.0
42,8.0,1.0
43,0.0,0.0
44,64.0,2.0
45,70.0,2.0
46,76.0,2.0
47,89.0,2.0
48,104.0,4.0
49,123.0,5.0
50,146.0,5.0
51,8.0,1.0
52,14.0,0.0
53,0.0,0.0
54,0.0,0.0
55,20.0,2.0
56,1.0,1.0
57,8.0,1.0
58,8.0,1.0
59,14.0,0.0
60,0.0,0.0
61,0.0,0.0
62,20.0,2.0
63,1.0,1.0
64,8.0,1.0
65,8.0,1.0
66,14.0,0.0
67,0.0,0.0
68,0.0,0.0
69,20.0,2.0
70,1.0,1.0
71,8.0,1.0
72,8.0,1.0
73,14.0,0.0
74,0.0,0.0
75,0.0,0.0
76,20.0,2.0
77,1.0,1.0
78,8.0,1.0
79,8.0,1.0
80,14.0,0.0
81,0.0,0.0
82,0.0,0.0
83,20.0,2.0
84,1.0,1.0
85,8.0,1.0
86,0.0,0.0
87,87.0,9.0
88,90.0,11.0
89,139.0,15.0
90,201.0,17.0
91,230.0,17.0
92,264.0,19.0
93,302.0,21.0
94,8.0,1.0
95,14.0,0.0
96,0.0,0.0
97,0.0,0.0
98,20.0,2.0
99,1.0,1.0
100,8.0,1.0
101,8.0,1.0
102,14.0,0.0
103,0.0,0.0
104,0.0,0.0
105,20.0,2.0
106,1.0,1.0
107,8.0,1.0
108,8.0,1.0
109,14.0,0.0
110,0.0,0.0
111,0.0,0.0
112,20.0,2.0
113,1.0,1.0
114,8.0,1.0
115,8.0,1.0
116,14.0,0.0
117,0.0,0.0
118,0.0,0.0
119,20.0,2.0
120,1.0,1.0
121,8.0,1.0
122,8.0,1.0
123,14.0,0.0
124,0.0,0.0
125,0.0,0.0
126,20.0,2.0
127,1.0,1.0
128,8.0,1.0
129,0.0,0.0
130,53.0,0.0
131,75.0,0.0
132,88.0,0.0
133,113.0,1.0
134,133.0,1.0
135,164.0,1.0
136,188.0,1.0
137,8.0,1.0
138,14.0,0.0
139,0.0,0.0
140,0.0,0.0
141,20.0,2.0
142,1.0,1.0
143,8.0,1.0
144,8.0,1.0
145,14.0,0.0
146,0.0,0.0
147,0.0,0.0
148,20.0,2.0
149,1.0,1.0
150,8.0,1.0
151,8.0,1.0
152,14.0,0.0
153,0.0,0.0
154,0.0,0.0
155,20.0,2.0
156,1.0,1.0
157,8.0,1.0
158,8.0,1.0
159,14.0,0.0
160,0.0,0.0
161,0.0,0.0
162,20.0,2.0
163,1.0,1.0
164,8.0,1.0
165,8.0,1.0
166,14.0,0.0
167,0.0,0.0
168,0.0,0.0
169,20.0,2.0
170,1.0,1.0
171,8.0,1.0
172,0.0,0.0
173,0.0,0.0
174,1.0,0.0
175,2.0,0.0
176,2.0,0.0
177,3.0,0.0
178,3.0,0.0
179,3.0,0.0
180,8.0,1.0
181,14.0,0.0
182,0.0,0.0
183,0.0,0.0
184,20.0,2.0
185,1.0,1.0
186,8.0,1.0
187,8.0,1.0
188,14.0,0.0
189,0.0,0.0
190,0.0,0.0
191,20.0,2.0
192,1.0,1.0
193,8.0,1.0
194,8.0,1.0
195,14.0,0.0
196,0.0,0.0
197,0.0,0.0
198,20.0,2.0
199,1.0,1.0
200,8.0,1.0
201,8.0,1.0
202,14.0,0.0
203,0.0,0.0
204,0.0,0.0
205,20.0,2.0
206,1.0,1.0
207,8.0,1.0
208,8.0,1.0
209,14.0,0.0
210,0.0,0.0
211,0.0,0.0
212,20.0,2.0
213,1.0,1.0
214,8.0,1.0
215,0.0,0.0
216,1.0,0.0
217,1.0,0.0
218,1.0,0.0
219,1.0,0.0
220,3.0,0.0
221,3.0,0.0
222,3.0,0.0
223,8.0,1.0
224,14.0,0.0
225,0.0,0.0
226,0.0,0.0
227,20.0,2.0
228,1.0,1.0
229,8.0,1.0
230,8.0,1.0
231,14.0,0.0
232,0.0,0.0
233,0.0,0.0
234,20.0,2.0
235,1.0,1.0
236,8.0,1.0
237,8.0,1.0
238,14.0,0.0
239,0.0,0.0
240,0.0,0.0
241,20.0,2.0
242,1.0,1.0
243,8.0,1.0
244,8.0,1.0
245,14.0,0.0
246,0.0,0.0
247,0.0,0.0
248,20.0,2.0
249,1.0,1.0
250,8.0,1.0
251,8.0,1.0
252,14.0,0.0
253,0.0,0.0
254,0.0,0.0
255,20.0,2.0
256,1.0,1.0
257,8.0,1.0
258,0.0,0.0
259,97.0,3.0
260,128.0,3.0
261,158.0,4.0
262,266.0,4.0
263,301.0,4.0
264,387.0,6.0
265,387.0,8.0
266,915.0,1.0
267,984.0,0.0
268,1163.0,0.0
269,1206.0,0.0
270,1376.0,2.0
271,1530.0,1.0
272,1518.0,1.0
273,3062.0,1.0
274,3979.0,0.0
275,4875.0,0.0
276,6083.0,0.0
277,7194.0,2.0
278,8431.0,1.0
279,9710.0,1.0
280,11366.0,1.0
281,14765.0,0.0
282,18138.0,0.0
283,20209.0,0.0
284,24671.0,2.0
285,27770.0,1.0
286,32351.0,1.0
287,35921.0,1.0
288,41425.0,0.0
289,45656.0,0.0
290,52160.0,0.0
291,56240.0,2.0
292,60693.0,1.0
293,65810.0,1.0
294,58754.0,1.0
295,62107.0,0.0
296,64617.0,0.0
297,68583.0,0.0
298,69420.0,2.0
299,72070.0,1.0
300,72260.0,1.0
301,0.0,0.0
302,115.0,0.0
303,136.0,0.0
304,160.0,0.0
305,194.0,0.0
306,235.0,0.0
307,249.0,0.0
308,265.0,0.0
309,8.0,1.0
310,14.0,0.0
311,0.0,0.0
312,0.0,0.0
313,20.0,2.0
314,1.0,1.0
315,8.0,1.0
316,8.0,1.0
317,14.0,0.0
318,0.0,0.0
319,0.0,0.0
320,20.0,2.0
321,1.0,1.0
322,8.0,1.0
323,8.0,1.0
324,14.0,0.0
325,0.0,0.0
326,0.0,0.0
327,20.0,2.0
328,1.0,1.0
329,8.0,1.0
330,8.0,1.0
331,14.0,0.0
332,0.0,0.0
333,0.0,0.0
334,20.0,2.0
335,1.0,1.0
336,8.0,1.0
337,8.0,1.0
338,14.0,0.0
339,0.0,0.0
340,0.0,0.0
341,20.0,2.0
342,1.0,1.0
343,8.0,1.0
344,0.0,0.0
345,4.0,0.0
346,6.0,0.0
347,9.0,0.0
348,19.0,0.0
349,32.0,0.0
350,39.0,0.0
351,39.0,0.0
352,10.0,1.0
353,17.0,0.0
354,1.0,0.0
355,0.0,0.0
356,23.0,2.0
357,3.0,1.0
358,11.0,1.0
359,10.0,1.0
360,17.0,0.0
361,1.0,0.0
362,0.0,0.0
363,23.0,2.0
364,3.0,1.0
365,11.0,1.0
366,11.0,1.0
367,17.0,0.0
368,1.0,0.0
369,0.0,0.0
370,23.0,2.0
371,3.0,1.0
372,11.0,1.0
373,11.0,1.0
374,17.0,0.0
375,1.0,0.0
376,0.0,0.0
377,23.0,2.0
378,3.0,1.0
379,11.0,1.0
380,11.0,1.0
381,17.0,0.0
382,1.0,0.0
383,0.0,0.0
384,23.0,2.0
385,3.0,1.0
386,11.0,1.0
387,0.0,0.0
388,307.0,5.0
389,353.0,6.0
390,436.0,6.0
391,669.0,6.0
392,669.0,6.0
393,818.0,7.0
394,1029.0,7.0
395,11.0,1.0
396,18.0,0.0
397,1.0,0.0
398,0.0,0.0
399,23.0,2.0
400,4.0,1.0
401,12.0,1.0
402,17.0,1.0
403,24.0,0.0
404,7.0,0.0
405,0.0,0.0
406,29.0,2.0
407,8.0,1.0
408,17.0,1.0
409,11.0,1.0
410,17.0,0.0
411,1.0,0.0
412,0.0,0.0
413,23.0,2.0
414,3.0,1.0
415,11.0,1.0
416,11.0,1.0
417,17.0,0.0
418,1.0,0.0
419,0.0,0.0
420,23.0,2.0
421,3.0,1.0
422,11.0,1.0
423,11.0,1.0
424,17.0,0.0
425,1.0,0.0
426,0.0,0.0
427,23.0,2.0
428,3.0,1.0
429,11.0,1.0
430,0.0,0.0
431,1.0,0.0
432,3.0,0.0
433,3.0,0.0
434,5.0,0.0
435,5.0,0.0
436,6.0,0.0
437,6.0,0.0
438,10.0,1.0
439,17.0,0.0
440,1.0,0.0
441,0.0,0.0
442,23.0,2.0
443,3.0,1.0
444,11.0,1.0
445,10.0,1.0
446,17.0,0.0
447,1.0,0.0
448,0.0,0.0
449,23.0,2.0
450,3.0,1.0
451,11.0,1.0
452,11.0,1.0
453,17.0,0.0
454,1.0,0.0
455,0.0,0.0
456,23.0,2.0
457,3.0,1.0
458,11.0,1.0
459,11.0,1.0
460,17.0,0.0
461,1.0,0.0
462,0.0,0.0
463,23.0,2.0
464,3.0,1.0
465,11.0,1.0
466,11.0,1.0
467,17.0,0.0
468,1.0,0.0
469,0.0,0.0
470,23.0,2.0
471,3.0,1.0
472,11.0,1.0
473,0.0,0.0
474,144.0,0.0
475,184.0,0.0
476,221.0,0.0
477,259.0,0.0
478,319.0,0.0
479,397.0,0.0
480,443.0,0.0
481,11.0,1.0
482,17.0,0.0
483,1.0,0.0
484,0.0,0.0
485,23.0,2.0
486,3.0,1.0
487,11.0,1.0
488,12.0,1.0
489,19.0,0.0
490,2.0,0.0
491,0.0,0.0
492,24.0,2.0
493,5.0,1.0
494,13.0,1.0
495,11.0,1.0
496,17.0,0.0
497,1.0,0.0
498,0.0,0.0
499,23.0,2.0
500,3.0,1.0
501,11.0,1.0
502,11.0,1.0
503,17.0,0.0
504,1.0,0.0
505,0.0,0.0
506,23.0,2.0
507,3.0,1.0
508,11.0,1.0
509,11.0,1.0
510,17.0,0.0
511,1.0,0.0
512,0.0,0.0
513,23.0,2.0
514,3.0,1.0
515,11.0,1.0
516,0.0,0.0
517,42.0,0.0
518,50.0,0.0
519,67.0,0.0
520,100.0,0.0
521,134.0,0.0
522,170.0,0.0
523,170.0,0.0
524,11.0,1.0
525,17.0,0.0
526,1.0,0.0
527,0.0,0.0
528,23.0,2.0
529,3.0,1.0
530,11.0,1.0
531,11.0,1.0
532,18.0,0.0
533,1.0,0.0
534,0.0,0.0
535,23.0,2.0
536,4.0,1.0
537,12.0,1.0
538,11.0,1.0
539,17.0,0.0
540,1.0,0.0
541,0.0,0.0
542,23.0,2.0
543,3.0,1.0
544,11.0,1.0
545,11.0,1.0
546,17.0,0.0
547,1.0,0.0
548,0.0,0.0
549,23.0,2.0
550,3.0,1.0
551,11.0,1.0
552,11.0,1.0
553,17.0,0.0
554,1.0,0.0
555,0.0,0.0
556,23.0,2.0
557,3.0,1.0
558,11.0,1.0
559,0.0,0.0
560,10.0,0.0
561,10.0,0.0
562,16.0,0.0
563,22.0,0.0
564,28.0,0.0
565,28.0,0.0
566,36.0,0.0
567,10.0,1.0
568,17.0,0.0
569,1.0,0.0
570,0.0,0.0
571,23.0,2.0
572,3.0,1.0
573,11.0,1.0
574,11.0,1.0
575,17.0,0.0
576,1.0,0.0
577,0.0,0.0
578,23.0,2.0
579,3.0,1.0
580,11.0,1.0
581,11.0,1.0
582,17.0,0.0
583,1.0,0.0
584,0.0,0.0
585,23.0,2.0
586,3.0,1.0
587,11.0,1.0
588,11.0,1.0
589,17.0,0.0
590,1.0,0.0
591,0.0,0.0
592,23.0,2.0
593,3.0,1.0
594,11.0,1.0
595,11.0,1.0
596,17.0,0.0
597,1.0,0.0
598,0.0,0.0
599,23.0,2.0
600,3.0,1.0
601,11.0,1.0
602,0.0,0.0
603,121.0,0.0
604,121.0,0.0
605,229.0,0.0
606,355.0,0.0
607,355.0,0.0
608,411.0,0.0
609,466.0,0.0
610,11.0,1.0
611,17.0,0.0
612,1.0,0.0
613,0.0,0.0
614,23.0,2.0
615,3.0,1.0
616,11.0,1.0
617,12.0,1.0
618,19.0,0.0
