ForecastId,ConfirmedCases,Fatalities
1,22.0,0.0
2,24.0,0.0
3,24.0,0.0
4,40.0,1.0
5,40.0,1.0
6,74.0,1.0
7,84.0,2.0
8,2.0,2.0
9,1.0,2.0
10,1.0,0.0
11,14.0,2.0
12,1.0,0.0
13,5.0,1.0
14,7.0,0.0
15,2.0,2.0
16,1.0,2.0
17,1.0,0.0
18,14.0,2.0
19,1.0,0.0
20,5.0,1.0
21,7.0,0.0
22,2.0,2.0
23,1.0,2.0
24,1.0,0.0
25,14.0,2.0
26,1.0,0.0
27,5.0,1.0
28,7.0,0.0
29,2.0,2.0
30,1.0,2.0
31,1.0,0.0
32,14.0,2.0
33,1.0,0.0
34,5.0,1.0
35,7.0,0.0
36,2.0,2.0
37,1.0,2.0
38,1.0,0.0
39,14.0,2.0
40,1.0,0.0
41,5.0,1.0
42,7.0,0.0
43,2.0,2.0
44,64.0,2.0
45,70.0,2.0
46,76.0,2.0
47,89.0,2.0
48,104.0,4.0
49,123.0,5.0
50,146.0,5.0
51,2.0,2.0
52,1.0,2.0
53,1.0,0.0
54,14.0,2.0
55,1.0,0.0
56,5.0,1.0
57,7.0,0.0
58,2.0,2.0
59,1.0,2.0
60,1.0,0.0
61,14.0,2.0
62,1.0,0.0
63,5.0,1.0
64,7.0,0.0
65,2.0,2.0
66,1.0,2.0
67,1.0,0.0
68,14.0,2.0
69,1.0,0.0
70,5.0,1.0
71,7.0,0.0
72,2.0,2.0
73,1.0,2.0
74,1.0,0.0
75,14.0,2.0
76,1.0,0.0
77,5.0,1.0
78,7.0,0.0
79,2.0,2.0
80,1.0,2.0
81,1.0,0.0
82,14.0,2.0
83,1.0,0.0
84,5.0,1.0
85,7.0,0.0
86,2.0,2.0
87,87.0,9.0
88,90.0,11.0
89,139.0,15.0
90,201.0,17.0
91,230.0,17.0
92,264.0,19.0
93,302.0,21.0
94,2.0,2.0
95,1.0,2.0
96,1.0,0.0
97,14.0,2.0
98,1.0,0.0
99,5.0,1.0
100,7.0,0.0
101,2.0,2.0
102,1.0,2.0
103,1.0,0.0
104,14.0,2.0
105,1.0,0.0
106,5.0,1.0
107,7.0,0.0
108,2.0,2.0
109,1.0,2.0
110,1.0,0.0
111,14.0,2.0
112,1.0,0.0
113,5.0,1.0
114,7.0,0.0
115,2.0,2.0
116,1.0,2.0
117,1.0,0.0
118,14.0,2.0
119,1.0,0.0
120,5.0,1.0
121,7.0,0.0
122,2.0,2.0
123,1.0,2.0
124,1.0,0.0
125,14.0,2.0
126,1.0,0.0
127,5.0,1.0
128,7.0,0.0
129,2.0,2.0
130,53.0,0.0
131,75.0,0.0
132,88.0,0.0
133,113.0,1.0
134,133.0,1.0
135,164.0,1.0
136,188.0,1.0
137,2.0,2.0
138,1.0,2.0
139,1.0,0.0
140,14.0,2.0
141,1.0,0.0
142,5.0,1.0
143,7.0,0.0
144,2.0,2.0
145,1.0,2.0
146,1.0,0.0
147,14.0,2.0
148,1.0,0.0
149,5.0,1.0
150,7.0,0.0
151,2.0,2.0
152,1.0,2.0
153,1.0,0.0
154,14.0,2.0
155,1.0,0.0
156,5.0,1.0
157,7.0,0.0
158,2.0,2.0
159,1.0,2.0
160,1.0,0.0
161,14.0,2.0
162,1.0,0.0
163,5.0,1.0
164,7.0,0.0
165,2.0,2.0
166,1.0,2.0
167,1.0,0.0
168,14.0,2.0
169,1.0,0.0
170,5.0,1.0
171,7.0,0.0
172,2.0,2.0
173,0.0,0.0
174,1.0,0.0
175,2.0,0.0
176,2.0,0.0
177,3.0,0.0
178,3.0,0.0
179,3.0,0.0
180,2.0,2.0
181,1.0,2.0
182,0.0,0.0
183,14.0,2.0
184,1.0,0.0
185,5.0,1.0
186,7.0,0.0
187,2.0,2.0
188,1.0,2.0
189,0.0,0.0
190,14.0,2.0
191,1.0,0.0
192,5.0,1.0
193,7.0,0.0
194,2.0,2.0
195,1.0,2.0
196,0.0,0.0
197,14.0,2.0
198,1.0,0.0
199,5.0,1.0
200,7.0,0.0
201,2.0,2.0
202,1.0,2.0
203,0.0,0.0
204,14.0,2.0
205,1.0,0.0
206,5.0,1.0
207,7.0,0.0
208,2.0,2.0
209,1.0,2.0
210,0.0,0.0
211,14.0,2.0
212,1.0,0.0
213,5.0,1.0
214,7.0,0.0
215,2.0,2.0
216,1.0,0.0
217,1.0,0.0
218,1.0,0.0
219,1.0,0.0
220,3.0,0.0
221,3.0,0.0
222,3.0,0.0
223,2.0,2.0
224,1.0,2.0
225,1.0,0.0
226,14.0,2.0
227,1.0,0.0
228,5.0,1.0
229,7.0,0.0
230,2.0,2.0
231,1.0,2.0
232,1.0,0.0
233,14.0,2.0
234,1.0,0.0
235,5.0,1.0
236,7.0,0.0
237,2.0,2.0
238,1.0,2.0
239,1.0,0.0
240,14.0,2.0
241,1.0,0.0
242,5.0,1.0
243,7.0,0.0
244,2.0,2.0
245,1.0,2.0
246,1.0,0.0
247,14.0,2.0
248,1.0,0.0
249,5.0,1.0
250,7.0,0.0
251,2.0,2.0
252,1.0,2.0
253,1.0,0.0
254,14.0,2.0
255,1.0,0.0
256,5.0,1.0
257,7.0,0.0
258,2.0,2.0
259,97.0,3.0
260,128.0,3.0
261,158.0,4.0
262,266.0,4.0
263,301.0,4.0
264,387.0,6.0
265,387.0,8.0
266,409.0,2.0
267,401.0,2.0
268,797.0,0.0
269,977.0,2.0
270,1109.0,0.0
271,1293.0,1.0
272,1619.0,0.0
273,1926.0,2.0
274,3138.0,2.0
275,3732.0,0.0
276,4121.0,2.0
277,5285.0,0.0
278,7170.0,1.0
279,8501.0,0.0
280,11720.0,2.0
281,14749.0,2.0
282,16761.0,0.0
283,19167.0,2.0
284,22931.0,0.0
285,27053.0,1.0
286,30330.0,0.0
287,37826.0,2.0
288,41829.0,2.0
289,46216.0,0.0
290,49963.0,2.0
291,54185.0,0.0
292,63276.0,1.0
293,68328.0,0.0
294,68434.0,2.0
295,73562.0,2.0
296,71409.0,0.0
297,70584.0,2.0
298,72861.0,0.0
299,82672.0,1.0
300,83384.0,0.0
301,78057.0,2.0
302,115.0,0.0
303,136.0,0.0
304,160.0,0.0
305,194.0,0.0
306,235.0,0.0
307,249.0,0.0
308,265.0,0.0
309,2.0,2.0
310,1.0,2.0
311,1.0,0.0
312,14.0,2.0
313,1.0,0.0
314,5.0,1.0
315,7.0,0.0
316,2.0,2.0
317,1.0,2.0
318,1.0,0.0
319,14.0,2.0
320,1.0,0.0
321,5.0,1.0
322,7.0,0.0
323,2.0,2.0
324,1.0,2.0
325,1.0,0.0
326,14.0,2.0
327,1.0,0.0
328,5.0,1.0
329,7.0,0.0
330,2.0,2.0
331,1.0,2.0
332,1.0,0.0
333,14.0,2.0
334,1.0,0.0
335,5.0,1.0
336,7.0,0.0
337,2.0,2.0
338,1.0,2.0
339,1.0,0.0
340,14.0,2.0
341,1.0,0.0
342,5.0,1.0
343,7.0,0.0
344,2.0,2.0
345,4.0,0.0
346,6.0,0.0
347,9.0,0.0
348,19.0,0.0
349,32.0,0.0
350,39.0,0.0
351,39.0,0.0
352,2.0,2.0
353,1.0,2.0
354,1.0,0.0
355,14.0,2.0
356,1.0,0.0
357,5.0,1.0
358,7.0,0.0
359,2.0,2.0
360,1.0,2.0
361,1.0,0.0
362,14.0,2.0
363,1.0,0.0
364,5.0,1.0
365,7.0,0.0
366,2.0,2.0
367,1.0,2.0
368,1.0,0.0
369,14.0,2.0
370,1.0,0.0
371,5.0,1.0
372,7.0,0.0
373,2.0,2.0
374,1.0,2.0
375,1.0,0.0
376,14.0,2.0
377,1.0,0.0
378,5.0,1.0
379,7.0,0.0
380,2.0,2.0
381,1.0,2.0
382,1.0,0.0
383,14.0,2.0
384,1.0,0.0
385,5.0,1.0
386,7.0,0.0
387,2.0,2.0
388,307.0,5.0
389,353.0,6.0
390,436.0,6.0
391,669.0,6.0
392,669.0,6.0
393,818.0,7.0
394,1029.0,7.0
395,2.0,2.0
396,1.0,2.0
397,1.0,0.0
398,14.0,2.0
399,1.0,0.0
400,5.0,1.0
401,7.0,0.0
402,2.0,2.0
403,1.0,2.0
404,1.0,0.0
405,14.0,2.0
406,1.0,0.0
407,5.0,1.0
408,7.0,0.0
409,2.0,2.0
410,1.0,2.0
411,1.0,0.0
412,14.0,2.0
413,1.0,0.0
414,5.0,1.0
415,7.0,0.0
416,2.0,2.0
417,1.0,2.0
418,1.0,0.0
419,14.0,2.0
420,1.0,0.0
421,5.0,1.0
422,7.0,0.0
423,2.0,2.0
424,1.0,2.0
425,1.0,0.0
426,14.0,2.0
427,1.0,0.0
428,5.0,1.0
429,7.0,0.0
430,2.0,2.0
431,1.0,0.0
432,3.0,0.0
433,3.0,0.0
434,5.0,0.0
435,5.0,0.0
436,6.0,0.0
437,6.0,0.0
438,2.0,2.0
439,1.0,2.0
440,1.0,0.0
441,14.0,2.0
442,1.0,0.0
443,5.0,1.0
444,7.0,0.0
445,2.0,2.0
446,1.0,2.0
447,1.0,0.0
448,14.0,2.0
449,1.0,0.0
450,5.0,1.0
451,7.0,0.0
452,2.0,2.0
453,1.0,2.0
454,1.0,0.0
455,14.0,2.0
456,1.0,0.0
457,5.0,1.0
458,7.0,0.0
459,2.0,2.0
460,1.0,2.0
461,1.0,0.0
462,14.0,2.0
463,1.0,0.0
464,5.0,1.0
465,7.0,0.0
466,2.0,2.0
467,1.0,2.0
468,1.0,0.0
469,14.0,2.0
470,1.0,0.0
471,5.0,1.0
472,7.0,0.0
473,2.0,2.0
474,144.0,0.0
475,184.0,0.0
476,221.0,0.0
477,259.0,0.0
478,319.0,0.0
479,397.0,0.0
480,443.0,0.0
481,2.0,2.0
482,1.0,2.0
483,1.0,0.0
484,14.0,2.0
485,1.0,0.0
486,5.0,1.0
487,7.0,0.0
488,2.0,2.0
489,1.0,2.0
490,1.0,0.0
491,14.0,2.0
492,1.0,0.0
493,5.0,1.0
494,7.0,0.0
495,2.0,2.0
496,1.0,2.0
497,1.0,0.0
498,14.0,2.0
499,1.0,0.0
500,5.0,1.0
501,7.0,0.0
502,2.0,2.0
503,1.0,2.0
504,1.0,0.0
505,14.0,2.0
506,1.0,0.0
507,5.0,1.0
508,7.0,0.0
509,2.0,2.0
510,1.0,2.0
511,1.0,0.0
512,14.0,2.0
513,1.0,0.0
514,5.0,1.0
515,7.0,0.0
516,2.0,2.0
517,42.0,0.0
518,50.0,0.0
519,67.0,0.0
520,100.0,0.0
521,134.0,0.0
522,170.0,0.0
523,170.0,0.0
524,2.0,2.0
525,1.0,2.0
526,1.0,0.0
527,14.0,2.0
528,1.0,0.0
529,5.0,1.0
530,7.0,0.0
531,2.0,2.0
532,1.0,2.0
533,1.0,0.0
534,14.0,2.0
535,1.0,0.0
536,5.0,1.0
537,7.0,0.0
538,2.0,2.0
539,1.0,2.0
540,1.0,0.0
541,14.0,2.0
542,1.0,0.0
543,5.0,1.0
544,7.0,0.0
545,2.0,2.0
546,1.0,2.0
547,1.0,0.0
548,14.0,2.0
549,1.0,0.0
550,5.0,1.0
551,7.0,0.0
552,2.0,2.0
553,1.0,2.0
554,1.0,0.0
555,14.0,2.0
556,1.0,0.0
557,5.0,1.0
558,7.0,0.0
559,2.0,2.0
560,10.0,0.0
561,10.0,0.0
562,16.0,0.0
563,22.0,0.0
564,28.0,0.0
565,28.0,0.0
566,36.0,0.0
567,2.0,2.0
568,1.0,2.0
569,1.0,0.0
570,14.0,2.0
571,1.0,0.0
572,5.0,1.0
573,7.0,0.0
574,2.0,2.0
575,1.0,2.0
576,1.0,0.0
577,14.0,2.0
578,1.0,0.0
579,5.0,1.0
580,7.0,0.0
581,2.0,2.0
582,1.0,2.0
583,1.0,0.0
584,14.0,2.0
585,1.0,0.0
586,5.0,1.0
587,7.0,0.0
588,2.0,2.0
589,1.0,2.0
590,1.0,0.0
591,14.0,2.0
592,1.0,0.0
593,5.0,1.0
594,7.0,0.0
595,2.0,2.0
596,1.0,2.0
597,1.0,0.0
598,14.0,2.0
599,1.0,0.0
600,5.0,1.0
601,7.0,0.0
602,2.0,2.0
603,121.0,0.0
604,121.0,0.0
605,229.0,0.0
606,355.0,0.0
607,355.0,0.0
608,411.0,0.0
609,466.0,0.0
610,2.0,2.0
611,1.0,2.0
612,1.0,0.0
613,14.0,2.0
614,1.0,0.0
615,5.0,1.0
616,7.0,0.0
617,2.0,2.0
618,1.0,2.0
